ItemID,商品名,variationID,種別
574976,北海道ミルククッキー札幌農学校 12枚入り,696508,
574987,北海道ミルククッキー札幌農学校 24枚入り,696519,
574992,北大プティゴーフル,696524,
575063,永遠の幸 ロースハム＆プレスハム詰め合わせ,696596,
575078,永遠の幸　ロースハム,696615,
575086,永遠の幸プレスハム,696623,
575095,春楡の饗（エルムのもてなし）,696634,
604174,A4クリアホルダー5枚セット,728136,
604226,クリアファイル2枚セット,728190,
604229,クリップオンマルチボールペン,728203,
604711,ハルニレペン（各種）,728852,ボールペン
604711,ハルニレペン（各種）,790617,シャープペン
604746,サラサクリップ　ボールペン（各色）,728887,ピンク
604746,サラサクリップ　ボールペン（各色）,728888,青
604746,サラサクリップ　ボールペン（各色）,728889,緑
604746,サラサクリップ　ボールペン（各色）,728890,オレンジ
605189,北大オリジナル付箋,729366,
605196,獣医学部クリアファイル,729373,
605243,北大カレッジノート,729429,
605269,A4ノート　シルバー,729462,
605288,北大ドライTシャツ 緑,729485,M
605288,北大ドライTシャツ 緑,1541401,L
605288,北大ドライTシャツ 緑,1541402,XL
605292,北の大志Tシャツ,729495,M
605292,北の大志Tシャツ,1519031,L
605292,北の大志Tシャツ,1519032,XL
605305,北大トレーナー,729508,北大トレーナー　グレー　M
605305,北大トレーナー,2731635,北大トレーナー　グレー　L
605305,北大トレーナー,2731636,北大トレーナー　紺　Ｍ
605652,北海道大学ロゴ入日本手拭い,729991,
605660,スポーツタオル,730000,
605670,ネクタイ（シンボルマーク）,730012,紺地・青ストライプ
605670,ネクタイ（シンボルマーク）,730013,紺地・緑ストライプ
605670,ネクタイ（シンボルマーク）,730014,紺地・赤ストライプ
605681,エンレイソウネクタイ,730031,
605720,ネクタイ専用化粧箱,730077,
605735,ウェアーバッグHUロゴ入り（各色）,730092,緑
605735,ウェアーバッグHUロゴ入り（各色）,730093,黒
605735,ウェアーバッグHUロゴ入り（各色）,730094,紺
605740,シューズ袋HUロゴ入り（各色）,730099,緑
605740,シューズ袋HUロゴ入り（各色）,730100,黒
605740,シューズ袋HUロゴ入り（各色）,730101,紺
605774,コースター２枚セット,730136,
605832,真空断熱タンブラー（各色）,730221,ブルー
605832,真空断熱タンブラー（各色）,730222,グリーン
605832,真空断熱タンブラー（各色）,730223,ピンク
605841,北大オリジナル　チェックストール,730239,
605869,北大オリジナル革製ＢＯＸ小銭入れ,730274,
605888,ミニ黒板消し（各色）,730293,赤
605888,ミニ黒板消し（各色）,730294,紺
605888,ミニ黒板消し（各色）,730295,カーキ
605897,北大のハルニレで作ったお箸,730304,L（8mm角、長さ220mm）
605897,北大のハルニレで作ったお箸,730305,M（8mm角、長さ200mm）
605909,湯のみ,730317,
605916,八角マグカップ,730324,
605921,エンレイ草マグカップ,730329,
606077,金のしおり,730519,
606083,キーケース,730525,
606086,ペンケース,730528,
606090,札入れ,730532,
606100,ファスナー財布,730548,
606108,木製ストラップ（各種）,730556,エンレイ草
606108,木製ストラップ（各種）,730557,クラーク像
606108,木製ストラップ（各種）,730558,北海道
606115,ポプラの黒板消しストラップ（各色）,730566,緑
606115,ポプラの黒板消しストラップ（各色）,730567,ターコイズ
606115,ポプラの黒板消しストラップ（各色）,730568,黄
606115,ポプラの黒板消しストラップ（各色）,730569,茶
611087,【CD】北大恵迪寮歌「都ぞ弥生」,736405,
611088,【CD】北大寮歌,736406,
611095, 【CD】北海道大学恵迪寮寮歌 都ぞ弥生～音楽の風景～,736414,
611155,【CD】北海道大学恵迪寮寮歌  百歌繚乱～音楽の風景Ⅱ～,736483,
611161,ポストカード北大の四季　I・IIセット,736489,
611178,扇子,736516,
611364,色紙,736702,
611502,エンレイ草ピンバッジ,736840,
611506,予科タイピン,736844,
611510,エンレイ草タイピン,736848,
611513,オリジナル額縁（英文用）,736851,
611515,オリジナル額縁（和文用）,736853,
611520,ミズナラ　デスククロック　アーチ型,736858,
611524,ミズナラ　デスククロック　ハウス型,736862,
611529,ミズナラ　スマイル温湿度計,736867,
611541,ミズナラ　ペンシルケース,736883,
611542,ミズナラ　ペントレイ,736884,
611543,ミズナラ　フォトスタンド 楕円形,736885,
611545,ミズナラ　ポケット印鑑ケース,736887,
611571,ガラスジュエリーピンバッジ　エンレイソウ,736928,
612617,おしょろ丸フェイスタオル,738076,
650169,マスキングテープ　（各種）,779499,大花
650169,マスキングテープ　（各種）,790592,小花
650316,Wリングノート　B5,779664,
650320,Wリングノート　A5,779668,
650353,クルトガアドバンス（各色）,779703,緑
650353,クルトガアドバンス（各色）,1134335,赤
650353,クルトガアドバンス（各色）,1134336,青
650418,革製キーホルダー　A:輪かん型（各色）,779787,ブラウン
650418,革製キーホルダー　A:輪かん型（各色）,779788,ダーク
650424,革製キーホルダー　B:楕円型（各色）,779797,ブラウン
650424,革製キーホルダー　B:楕円型（各色）,779798,ダーク
650429,革製キーホルダーC,779804,
662398,クリスタルペーパーウェイト 平型（白）,793176,
662449,クリスタルペーパーウェイト 平型（透明）,793232,
662451,クリスタルペーパーウェイト 立体型（白）,793237,
662453,クリスタルペーパーウェイト 立体型（透明）,793242,
662460,ガラスジュエリーネックレス（エンレイソウ）,793252,
662472,ガラスジュエリーネックレス（雪の舞う北海道大学総合博物館）,793267,
662476,ガラスジュエリーネックレス（ポプラ並木）,793277,
688085,北大スウェットパーカー,825217,
688092,北大ジップパーカー,825236,
